"indicator","area_name","area_code","area_type","year","period","numerator","measure","lower_confidence_interval","upper_confidence_interval","definition","data_source"
"Alcohol-related hospital admissions","Kincorth, Leggart & Nigg South","S02001254","Intermediate zone",2010,"2010/11 financial year",30,730.65,486.31,1053.23,"Age-sex standardised rate per 100,000","Public Health Scotland (SMR01)"
"Alcohol-related hospital admissions","Cove South","S02001255","Intermediate zone",2010,"2010/11 financial year",12,248.64,120.11,450.96,"Age-sex standardised rate per 100,000","Public Health Scotland (SMR01)"
"Alcohol-related hospital admissions","Cove North","S02001256","Intermediate zone",2010,"2010/11 financial year",27,720,457.41,1072.17,"Age-sex standardised rate per 100,000","Public Health Scotland (SMR01)"
"Alcohol-related hospital admissions","Torry West","S02001257","Intermediate zone",2010,"2010/11 financial year",90,1716.22,1350.22,2144.01,"Age-sex standardised rate per 100,000","Public Health Scotland (SMR01)"
"Alcohol-related hospital admissions","Torry East","S02001258","Intermediate zone",2010,"2010/11 financial year",96,2273.37,1832.16,2786.94,"Age-sex standardised rate per 100,000","Public Health Scotland (SMR01)"
"Alcohol-related hospital admissions","Hanover South","S02001259","Intermediate zone",2010,"2010/11 financial year",36,1393.03,921.44,1997.99,"Age-sex standardised rate per 100,000","Public Health Scotland (SMR01)"
"Alcohol-related hospital admissions","Hanover North","S02001260","Intermediate zone",2010,"2010/11 financial year",39,1283.85,804.72,1890.61,"Age-sex standardised rate per 100,000","Public Health Scotland (SMR01)"
"Alcohol-related hospital admissions","George Street","S02001261","Intermediate zone",2010,"2010/11 financial year",96,2307.82,1806.08,2891.39,"Age-sex standardised rate per 100,000","Public Health Scotland (SMR01)"
"Alcohol-related hospital admissions","Ashgrove","S02001262","Intermediate zone",2010,"2010/11 financial year",39,1261.03,880.66,1742.7,"Age-sex standardised rate per 100,000","Public Health Scotland (SMR01)"
"Alcohol-related hospital admissions","Froghall, Powis & Sunnybank","S02001263","Intermediate zone",2010,"2010/11 financial year",27,709.59,417.6,1096.98,"Age-sex standardised rate per 100,000","Public Health Scotland (SMR01)"
"Alcohol-related hospital admissions","Seaton","S02001264","Intermediate zone",2010,"2010/11 financial year",72,2192.25,1667.83,2818.09,"Age-sex standardised rate per 100,000","Public Health Scotland (SMR01)"
"Alcohol-related hospital admissions","Old Aberdeen","S02001265","Intermediate zone",2010,"2010/11 financial year",57,1775.31,1273.48,2387.8,"Age-sex standardised rate per 100,000","Public Health Scotland (SMR01)"
"Alcohol-related hospital admissions","Tillydrone","S02001266","Intermediate zone",2010,"2010/11 financial year",75,1682.58,1303.81,2131.93,"Age-sex standardised rate per 100,000","Public Health Scotland (SMR01)"
"Alcohol-related hospital admissions","Woodside-Abeerdeen City","S02001267","Intermediate zone",2010,"2010/11 financial year",105,3250.09,2626.13,3971.55,"Age-sex standardised rate per 100,000","Public Health Scotland (SMR01)"
"Alcohol-related hospital admissions","Hilton","S02001268","Intermediate zone",2010,"2010/11 financial year",81,1458.38,1149.49,1823.24,"Age-sex standardised rate per 100,000","Public Health Scotland (SMR01)"
"Alcohol-related hospital admissions","Stockethill","S02001269","Intermediate zone",2010,"2010/11 financial year",105,2151.63,1756.08,2608.97,"Age-sex standardised rate per 100,000","Public Health Scotland (SMR01)"
"Alcohol-related hospital admissions","Mastrick","S02001270","Intermediate zone",2010,"2010/11 financial year",60,1243.37,943.63,1607.32,"Age-sex standardised rate per 100,000","Public Health Scotland (SMR01)"
"Alcohol-related hospital admissions","Sheddocksley","S02001271","Intermediate zone",2010,"2010/11 financial year",36,824.45,577.5,1140.15,"Age-sex standardised rate per 100,000","Public Health Scotland (SMR01)"
"Alcohol-related hospital admissions","Cummings Park","S02001272","Intermediate zone",2010,"2010/11 financial year",30,921.99,618.64,1320.59,"Age-sex standardised rate per 100,000","Public Health Scotland (SMR01)"
"Alcohol-related hospital admissions","Northfield","S02001273","Intermediate zone",2010,"2010/11 financial year",63,1138.49,873.72,1457.48,"Age-sex standardised rate per 100,000","Public Health Scotland (SMR01)"
"Alcohol-related hospital admissions","Heathryfold & Middlefield","S02001274","Intermediate zone",2010,"2010/11 financial year",78,1813.17,1414.84,2284.66,"Age-sex standardised rate per 100,000","Public Health Scotland (SMR01)"
"Alcohol-related hospital admissions","Kingswells","S02001275","Intermediate zone",2010,"2010/11 financial year",15,321.92,174.1,539.76,"Age-sex standardised rate per 100,000","Public Health Scotland (SMR01)"
"Alcohol-related hospital admissions","Bucksburn South","S02001276","Intermediate zone",2010,"2010/11 financial year",21,601.58,364.32,933.31,"Age-sex standardised rate per 100,000","Public Health Scotland (SMR01)"
"Alcohol-related hospital admissions","Bucksburn North","S02001277","Intermediate zone",2010,"2010/11 financial year",33,683.41,463.66,969.65,"Age-sex standardised rate per 100,000","Public Health Scotland (SMR01)"
"Alcohol-related hospital admissions","Dyce","S02001278","Intermediate zone",2010,"2010/11 financial year",18,350.96,206.41,556.83,"Age-sex standardised rate per 100,000","Public Health Scotland (SMR01)"
"Alcohol-related hospital admissions","Danestone","S02001279","Intermediate zone",2010,"2010/11 financial year",6,129.78,47.14,282.95,"Age-sex standardised rate per 100,000","Public Health Scotland (SMR01)"
"Alcohol-related hospital admissions","Oldmachar West","S02001280","Intermediate zone",2010,"2010/11 financial year",12,299.92,140.42,541.91,"Age-sex standardised rate per 100,000","Public Health Scotland (SMR01)"
"Alcohol-related hospital admissions","Oldmachar East","S02001281","Intermediate zone",2010,"2010/11 financial year",15,377.42,199.35,636.58,"Age-sex standardised rate per 100,000","Public Health Scotland (SMR01)"
"Alcohol-related hospital admissions","Balgownie & Donmouth West","S02001282","Intermediate zone",2010,"2010/11 financial year",21,476.99,287.79,741.52,"Age-sex standardised rate per 100,000","Public Health Scotland (SMR01)"
"Alcohol-related hospital admissions","Balgownie & Donmouth East","S02001283","Intermediate zone",2010,"2010/11 financial year",12,496.51,261.26,853.42,"Age-sex standardised rate per 100,000","Public Health Scotland (SMR01)"
"Alcohol-related hospital admissions","Denmore","S02001284","Intermediate zone",2010,"2010/11 financial year",0,0,0,0,"Age-sex standardised rate per 100,000","Public Health Scotland (SMR01)"
"Alcohol-related hospital admissions","East Cairngorms","S02001285","Intermediate zone",2010,"2010/11 financial year",18,515.47,295.13,832.52,"Age-sex standardised rate per 100,000","Public Health Scotland (SMR01)"
"Alcohol-related hospital admissions","Aboyne & South Deeside","S02001286","Intermediate zone",2010,"2010/11 financial year",15,282.69,160.88,459.98,"Age-sex standardised rate per 100,000","Public Health Scotland (SMR01)"
"Alcohol-related hospital admissions","Mearns & Laurencekirk","S02001287","Intermediate zone",2010,"2010/11 financial year",12,271.92,134.43,488.35,"Age-sex standardised rate per 100,000","Public Health Scotland (SMR01)"
"Alcohol-related hospital admissions","Mearns South & Benholm","S02001288","Intermediate zone",2010,"2010/11 financial year",12,308.13,152.1,548.97,"Age-sex standardised rate per 100,000","Public Health Scotland (SMR01)"
"Alcohol-related hospital admissions","Mearns North & Inverbervie","S02001289","Intermediate zone",2010,"2010/11 financial year",24,472.96,299.41,708.57,"Age-sex standardised rate per 100,000","Public Health Scotland (SMR01)"
"Alcohol-related hospital admissions","Fetteresso, Netherley & Catter","S02001290","Intermediate zone",2010,"2010/11 financial year",9,225.56,93.98,449.82,"Age-sex standardised rate per 100,000","Public Health Scotland (SMR01)"
"Alcohol-related hospital admissions","Stonehaven South","S02001291","Intermediate zone",2010,"2010/11 financial year",18,331.1,194.56,525.54,"Age-sex standardised rate per 100,000","Public Health Scotland (SMR01)"
"Alcohol-related hospital admissions","Stonehaven North","S02001292","Intermediate zone",2010,"2010/11 financial year",27,495.39,325.78,720.42,"Age-sex standardised rate per 100,000","Public Health Scotland (SMR01)"
"Alcohol-related hospital admissions","Newtonhill","S02001293","Intermediate zone",2010,"2010/11 financial year",3,106.41,21.34,311.02,"Age-sex standardised rate per 100,000","Public Health Scotland (SMR01)"
"Alcohol-related hospital admissions","Portlethen","S02001294","Intermediate zone",2010,"2010/11 financial year",21,394.7,232.63,621.31,"Age-sex standardised rate per 100,000","Public Health Scotland (SMR01)"
"Alcohol-related hospital admissions","Banchory-Devenick & Findon","S02001295","Intermediate zone",2010,"2010/11 financial year",39,916.51,637.75,1271.71,"Age-sex standardised rate per 100,000","Public Health Scotland (SMR01)"
"Alcohol-related hospital admissions","Dunecht, Durris & Drumoak","S02001296","Intermediate zone",2010,"2010/11 financial year",12,250.86,129.6,434.83,"Age-sex standardised rate per 100,000","Public Health Scotland (SMR01)"
"Alcohol-related hospital admissions","Banchory East","S02001297","Intermediate zone",2010,"2010/11 financial year",15,319.36,172.73,538.43,"Age-sex standardised rate per 100,000","Public Health Scotland (SMR01)"
"Alcohol-related hospital admissions","Banchory West","S02001298","Intermediate zone",2010,"2010/11 financial year",24,650.66,410.36,979.06,"Age-sex standardised rate per 100,000","Public Health Scotland (SMR01)"
"Alcohol-related hospital admissions","Crathes & Torphins","S02001299","Intermediate zone",2010,"2010/11 financial year",6,150.15,44.26,358.54,"Age-sex standardised rate per 100,000","Public Health Scotland (SMR01)"
"Alcohol-related hospital admissions","Cromar & Kildrummy","S02001300","Intermediate zone",2010,"2010/11 financial year",12,253.47,124.52,456.45,"Age-sex standardised rate per 100,000","Public Health Scotland (SMR01)"
"Alcohol-related hospital admissions","Howe of Alford","S02001301","Intermediate zone",2010,"2010/11 financial year",24,514.77,315.93,786.51,"Age-sex standardised rate per 100,000","Public Health Scotland (SMR01)"
"Alcohol-related hospital admissions","Kemnay","S02001302","Intermediate zone",2010,"2010/11 financial year",15,425.46,235.01,706.13,"Age-sex standardised rate per 100,000","Public Health Scotland (SMR01)"
"Alcohol-related hospital admissions","Inverurie North","S02001303","Intermediate zone",2010,"2010/11 financial year",15,243.12,132.53,408.35,"Age-sex standardised rate per 100,000","Public Health Scotland (SMR01)"
"Alcohol-related hospital admissions","Inverurie South","S02001304","Intermediate zone",2010,"2010/11 financial year",33,683.26,472.12,956.09,"Age-sex standardised rate per 100,000","Public Health Scotland (SMR01)"
"Alcohol-related hospital admissions","Durno-Chapel of Garioch","S02001305","Intermediate zone",2010,"2010/11 financial year",0,0,0,0,"Age-sex standardised rate per 100,000","Public Health Scotland (SMR01)"
"Alcohol-related hospital admissions","Kintore","S02001306","Intermediate zone",2010,"2010/11 financial year",15,308.02,170.2,511.11,"Age-sex standardised rate per 100,000","Public Health Scotland (SMR01)"
"Alcohol-related hospital admissions","Blackburn-Aberdeenshire","S02001307","Intermediate zone",2010,"2010/11 financial year",6,290.59,104.77,619.37,"Age-sex standardised rate per 100,000","Public Health Scotland (SMR01)"
"Alcohol-related hospital admissions","Westhill North & South","S02001308","Intermediate zone",2010,"2010/11 financial year",6,167.83,53.16,380.39,"Age-sex standardised rate per 100,000","Public Health Scotland (SMR01)"
"Alcohol-related hospital admissions","Westhill Central","S02001309","Intermediate zone",2010,"2010/11 financial year",15,330.37,178.83,556.77,"Age-sex standardised rate per 100,000","Public Health Scotland (SMR01)"
"Alcohol-related hospital admissions","Garlogie & Elrick","S02001310","Intermediate zone",2010,"2010/11 financial year",12,304.18,146.7,543.09,"Age-sex standardised rate per 100,000","Public Health Scotland (SMR01)"
"Alcohol-related hospital admissions","Newmachar & Fintray","S02001311","Intermediate zone",2010,"2010/11 financial year",12,321.9,160.43,566.88,"Age-sex standardised rate per 100,000","Public Health Scotland (SMR01)"
"Alcohol-related hospital admissions","Balmedie & Potterton","S02001312","Intermediate zone",2010,"2010/11 financial year",21,381.55,226.14,598.84,"Age-sex standardised rate per 100,000","Public Health Scotland (SMR01)"
"Alcohol-related hospital admissions","Ellon East","S02001313","Intermediate zone",2010,"2010/11 financial year",15,339.67,188.15,560.19,"Age-sex standardised rate per 100,000","Public Health Scotland (SMR01)"
"Alcohol-related hospital admissions","Ellon West","S02001314","Intermediate zone",2010,"2010/11 financial year",12,295.31,153.26,510.83,"Age-sex standardised rate per 100,000","Public Health Scotland (SMR01)"
"Alcohol-related hospital admissions","Ythanside","S02001315","Intermediate zone",2010,"2010/11 financial year",15,440.35,248.2,719.98,"Age-sex standardised rate per 100,000","Public Health Scotland (SMR01)"
"Alcohol-related hospital admissions","Ythsie","S02001316","Intermediate zone",2010,"2010/11 financial year",15,249.73,141.34,407.47,"Age-sex standardised rate per 100,000","Public Health Scotland (SMR01)"
"Alcohol-related hospital admissions","Barrahill","S02001317","Intermediate zone",2010,"2010/11 financial year",12,273.4,138.09,482.26,"Age-sex standardised rate per 100,000","Public Health Scotland (SMR01)"
"Alcohol-related hospital admissions","Fyvie-Rothie","S02001318","Intermediate zone",2010,"2010/11 financial year",18,482.37,273.85,782.42,"Age-sex standardised rate per 100,000","Public Health Scotland (SMR01)"
"Alcohol-related hospital admissions","Insch, Oyne & Ythanwells","S02001319","Intermediate zone",2010,"2010/11 financial year",12,297.08,151.94,521.11,"Age-sex standardised rate per 100,000","Public Health Scotland (SMR01)"
"Alcohol-related hospital admissions","Clashindarroch","S02001320","Intermediate zone",2010,"2010/11 financial year",9,155.39,70.69,295.34,"Age-sex standardised rate per 100,000","Public Health Scotland (SMR01)"
"Alcohol-related hospital admissions","Huntly","S02001321","Intermediate zone",2010,"2010/11 financial year",30,764.83,517.89,1087.86,"Age-sex standardised rate per 100,000","Public Health Scotland (SMR01)"
"Alcohol-related hospital admissions","Auchterless & Monquhitter","S02001322","Intermediate zone",2010,"2010/11 financial year",0,0,0,0,"Age-sex standardised rate per 100,000","Public Health Scotland (SMR01)"
"Alcohol-related hospital admissions","Turriff","S02001323","Intermediate zone",2010,"2010/11 financial year",30,595.52,398.87,853.91,"Age-sex standardised rate per 100,000","Public Health Scotland (SMR01)"
"Alcohol-related hospital admissions","Portsoy, Fordyce & Cornhill","S02001324","Intermediate zone",2010,"2010/11 financial year",21,594.78,364.64,913.93,"Age-sex standardised rate per 100,000","Public Health Scotland (SMR01)"
"Alcohol-related hospital admissions","Aberchirder & Whitehills","S02001325","Intermediate zone",2010,"2010/11 financial year",18,406.28,235.83,649.03,"Age-sex standardised rate per 100,000","Public Health Scotland (SMR01)"
"Alcohol-related hospital admissions","Banff","S02001326","Intermediate zone",2010,"2010/11 financial year",18,438.22,257.75,695.22,"Age-sex standardised rate per 100,000","Public Health Scotland (SMR01)"
"Alcohol-related hospital admissions","Macduff","S02001327","Intermediate zone",2010,"2010/11 financial year",21,524.8,317.86,814.14,"Age-sex standardised rate per 100,000","Public Health Scotland (SMR01)"
"Alcohol-related hospital admissions","Gardenstown & King Edward","S02001328","Intermediate zone",2010,"2010/11 financial year",12,387.24,204.01,665.24,"Age-sex standardised rate per 100,000","Public Health Scotland (SMR01)"
"Alcohol-related hospital admissions","New Pitsligo","S02001329","Intermediate zone",2010,"2010/11 financial year",15,486.43,264.69,813.2,"Age-sex standardised rate per 100,000","Public Health Scotland (SMR01)"
"Alcohol-related hospital admissions","Deer & Mormond","S02001330","Intermediate zone",2010,"2010/11 financial year",12,293.11,153.91,504.3,"Age-sex standardised rate per 100,000","Public Health Scotland (SMR01)"
"Alcohol-related hospital admissions","Mintlaw","S02001331","Intermediate zone",2010,"2010/11 financial year",9,307.36,138.35,586.64,"Age-sex standardised rate per 100,000","Public Health Scotland (SMR01)"
"Alcohol-related hospital admissions","Auchnagatt","S02001332","Intermediate zone",2010,"2010/11 financial year",3,113.96,29.84,293.51,"Age-sex standardised rate per 100,000","Public Health Scotland (SMR01)"
"Alcohol-related hospital admissions","Cruden","S02001333","Intermediate zone",2010,"2010/11 financial year",15,290.75,161.03,481.9,"Age-sex standardised rate per 100,000","Public Health Scotland (SMR01)"
"Alcohol-related hospital admissions","Peterhead Links","S02001334","Intermediate zone",2010,"2010/11 financial year",21,466.37,289.76,709.45,"Age-sex standardised rate per 100,000","Public Health Scotland (SMR01)"
"Alcohol-related hospital admissions","Peterhead Bay","S02001335","Intermediate zone",2010,"2010/11 financial year",18,707.19,405.4,1141.44,"Age-sex standardised rate per 100,000","Public Health Scotland (SMR01)"
"Alcohol-related hospital admissions","Peterhead Harbour","S02001336","Intermediate zone",2010,"2010/11 financial year",75,1228.19,960.52,1546.48,"Age-sex standardised rate per 100,000","Public Health Scotland (SMR01)"
"Alcohol-related hospital admissions","Peterhead Ugieside","S02001337","Intermediate zone",2010,"2010/11 financial year",6,123.41,39.61,288.31,"Age-sex standardised rate per 100,000","Public Health Scotland (SMR01)"
"Alcohol-related hospital admissions","Longside & Rattray","S02001338","Intermediate zone",2010,"2010/11 financial year",12,217.92,114.81,374.35,"Age-sex standardised rate per 100,000","Public Health Scotland (SMR01)"
"Alcohol-related hospital admissions","Rosehearty & Strathbeg","S02001339","Intermediate zone",2010,"2010/11 financial year",18,327.11,195.58,512.65,"Age-sex standardised rate per 100,000","Public Health Scotland (SMR01)"
"Alcohol-related hospital admissions","Fraserburgh Smiddyhill","S02001340","Intermediate zone",2010,"2010/11 financial year",6,183.28,72.34,379.57,"Age-sex standardised rate per 100,000","Public Health Scotland (SMR01)"
"Alcohol-related hospital admissions","Fraserburgh Lochpots","S02001341","Intermediate zone",2010,"2010/11 financial year",21,803.03,488.06,1239.83,"Age-sex standardised rate per 100,000","Public Health Scotland (SMR01)"
"Alcohol-related hospital admissions","Fraserburgh Central-Academy","S02001342","Intermediate zone",2010,"2010/11 financial year",27,1050.3,684.94,1540.3,"Age-sex standardised rate per 100,000","Public Health Scotland (SMR01)"
"Alcohol-related hospital admissions","Fraserburgh Harbour & Broadsea","S02001343","Intermediate zone",2010,"2010/11 financial year",45,1312.26,948.62,1767.67,"Age-sex standardised rate per 100,000","Public Health Scotland (SMR01)"
"Alcohol-related hospital admissions","South Angus","S02001344","Intermediate zone",2010,"2010/11 financial year",6,119.09,45.14,249.94,"Age-sex standardised rate per 100,000","Public Health Scotland (SMR01)"
"Alcohol-related hospital admissions","Monikie","S02001345","Intermediate zone",2010,"2010/11 financial year",9,209.76,90.45,406.93,"Age-sex standardised rate per 100,000","Public Health Scotland (SMR01)"
"Alcohol-related hospital admissions","Monifieth West","S02001346","Intermediate zone",2010,"2010/11 financial year",12,344.13,175.12,605.01,"Age-sex standardised rate per 100,000","Public Health Scotland (SMR01)"
"Alcohol-related hospital admissions","Monifieth East","S02001347","Intermediate zone",2010,"2010/11 financial year",18,378.73,219.89,604.92,"Age-sex standardised rate per 100,000","Public Health Scotland (SMR01)"
"Alcohol-related hospital admissions","Carnoustie West","S02001348","Intermediate zone",2010,"2010/11 financial year",39,773.81,548.42,1060.09,"Age-sex standardised rate per 100,000","Public Health Scotland (SMR01)"
"Alcohol-related hospital admissions","Carnoustie East","S02001349","Intermediate zone",2010,"2010/11 financial year",15,319.25,171.03,537.68,"Age-sex standardised rate per 100,000","Public Health Scotland (SMR01)"
"Alcohol-related hospital admissions","Arbroath Landward","S02001350","Intermediate zone",2010,"2010/11 financial year",3,120.53,21.11,359.66,"Age-sex standardised rate per 100,000","Public Health Scotland (SMR01)"
"Alcohol-related hospital admissions","Arbroath Kirkton","S02001351","Intermediate zone",2010,"2010/11 financial year",18,370.12,221.95,579.12,"Age-sex standardised rate per 100,000","Public Health Scotland (SMR01)"
"Alcohol-related hospital admissions","Arbroath Keptie","S02001352","Intermediate zone",2010,"2010/11 financial year",9,236,104.59,453.14,"Age-sex standardised rate per 100,000","Public Health Scotland (SMR01)"
"Alcohol-related hospital admissions","Arbroath Harbour","S02001353","Intermediate zone",2010,"2010/11 financial year",48,1090.37,799.87,1449.88,"Age-sex standardised rate per 100,000","Public Health Scotland (SMR01)"
"Alcohol-related hospital admissions","Arbroath Cliffburn","S02001354","Intermediate zone",2010,"2010/11 financial year",33,760.07,521.57,1069.46,"Age-sex standardised rate per 100,000","Public Health Scotland (SMR01)"
"Alcohol-related hospital admissions","Arbroath Warddykes","S02001355","Intermediate zone",2010,"2010/11 financial year",39,907.42,634.36,1255.34,"Age-sex standardised rate per 100,000","Public Health Scotland (SMR01)"
"Alcohol-related hospital admissions","Lunan","S02001356","Intermediate zone",2010,"2010/11 financial year",6,201.97,69.44,447.6,"Age-sex standardised rate per 100,000","Public Health Scotland (SMR01)"
"Alcohol-related hospital admissions","Montrose South","S02001357","Intermediate zone",2010,"2010/11 financial year",27,487.38,320.24,710.3,"Age-sex standardised rate per 100,000","Public Health Scotland (SMR01)"
"Alcohol-related hospital admissions","Montrose North","S02001358","Intermediate zone",2010,"2010/11 financial year",21,484.56,302,735.81,"Age-sex standardised rate per 100,000","Public Health Scotland (SMR01)"
"Alcohol-related hospital admissions","Hillside","S02001359","Intermediate zone",2010,"2010/11 financial year",6,197.15,69.09,434.49,"Age-sex standardised rate per 100,000","Public Health Scotland (SMR01)"
"Alcohol-related hospital admissions","Friockheim","S02001360","Intermediate zone",2010,"2010/11 financial year",6,180.23,71.23,373.09,"Age-sex standardised rate per 100,000","Public Health Scotland (SMR01)"
"Alcohol-related hospital admissions","Brechin East","S02001361","Intermediate zone",2010,"2010/11 financial year",27,783.92,514.24,1143.6,"Age-sex standardised rate per 100,000","Public Health Scotland (SMR01)"
"Alcohol-related hospital admissions","Brechin West","S02001362","Intermediate zone",2010,"2010/11 financial year",12,300.87,148.96,539.98,"Age-sex standardised rate per 100,000","Public Health Scotland (SMR01)"
"Alcohol-related hospital admissions","Letham & Glamis","S02001363","Intermediate zone",2010,"2010/11 financial year",15,249.55,134.15,419.6,"Age-sex standardised rate per 100,000","Public Health Scotland (SMR01)"
"Alcohol-related hospital admissions","Forfar East","S02001364","Intermediate zone",2010,"2010/11 financial year",18,394.74,225.76,637.9,"Age-sex standardised rate per 100,000","Public Health Scotland (SMR01)"
"Alcohol-related hospital admissions","Forfar Central","S02001365","Intermediate zone",2010,"2010/11 financial year",21,487.42,303.73,740.24,"Age-sex standardised rate per 100,000","Public Health Scotland (SMR01)"
"Alcohol-related hospital admissions","Forfar West","S02001366","Intermediate zone",2010,"2010/11 financial year",21,424.88,256.95,659.68,"Age-sex standardised rate per 100,000","Public Health Scotland (SMR01)"
"Alcohol-related hospital admissions","Kirriemuir Landward","S02001367","Intermediate zone",2010,"2010/11 financial year",6,173.87,52.27,413.15,"Age-sex standardised rate per 100,000","Public Health Scotland (SMR01)"
"Alcohol-related hospital admissions","Kirriemuir","S02001368","Intermediate zone",2010,"2010/11 financial year",12,212.8,108.15,374.34,"Age-sex standardised rate per 100,000","Public Health Scotland (SMR01)"
"Alcohol-related hospital admissions","Angus Glens","S02001369","Intermediate zone",2010,"2010/11 financial year",9,207.09,91.85,397.53,"Age-sex standardised rate per 100,000","Public Health Scotland (SMR01)"
"Alcohol-related hospital admissions","Mull, Iona, Coll & Tiree","S02001370","Intermediate zone",2010,"2010/11 financial year",9,261.05,120.53,487.26,"Age-sex standardised rate per 100,000","Public Health Scotland (SMR01)"
"Alcohol-related hospital admissions","Oban South","S02001371","Intermediate zone",2010,"2010/11 financial year",105,1866.33,1522.02,2264.17,"Age-sex standardised rate per 100,000","Public Health Scotland (SMR01)"
"Alcohol-related hospital admissions","Oban North","S02001372","Intermediate zone",2010,"2010/11 financial year",39,1309.72,925.33,1797.96,"Age-sex standardised rate per 100,000","Public Health Scotland (SMR01)"
"Alcohol-related hospital admissions","Benderloch Trail","S02001373","Intermediate zone",2010,"2010/11 financial year",42,779.07,549.08,1068.65,"Age-sex standardised rate per 100,000","Public Health Scotland (SMR01)"
"Alcohol-related hospital admissions","Loch Awe","S02001374","Intermediate zone",2010,"2010/11 financial year",9,413.24,184,782.28,"Age-sex standardised rate per 100,000","Public Health Scotland (SMR01)"
"Alcohol-related hospital admissions","Mid Argyll","S02001375","Intermediate zone",2010,"2010/11 financial year",24,656.89,402.33,1004.76,"Age-sex standardised rate per 100,000","Public Health Scotland (SMR01)"
"Alcohol-related hospital admissions","Greater Lochgilphead","S02001376","Intermediate zone",2010,"2010/11 financial year",30,921.11,617.18,1320.45,"Age-sex standardised rate per 100,000","Public Health Scotland (SMR01)"
